question_id,equipment_category,question_type,question,expected_points,must_cite_source,must_warn_risk
Q-04-04,液压系统与气动系统,安全边界,维修液压系统与气动系统前应隔离哪些危险，哪些操作禁止执行？,停机后蓄能器、油缸载荷和压缩空气仍储存能量；高压微孔泄漏不得用手触摸查找；支撑悬挂负载并泄压确认后才能拆卸管路和执行器,yes,yes
Q-04-05,液压系统与气动系统,资料边界,没有具体品牌、型号和报警代码时，能否直接给出液压系统与气动系统的参数修改或拆机步骤？,不得直接给出；先确认铭牌、型号、制造商手册、现场风险和人员资质；提供通用排查框架并升级专业人员,yes,yes
Q-05-01,输送、传动与减速设备,点检,输送、传动与减速设备班前或日常点检应检查什么？,检查跑偏、打滑、堆料、异响和异常振动；检查滚筒托辊转动、链条/皮带张力和磨损；检查减速机油位、温度、泄漏和呼吸器；验证护罩、拉绳急停、跑偏和堵料开关,yes,no
Q-05-02,输送、传动与减速设备,故障诊断,输送、传动与减速设备出现异常温升、噪声或性能下降时如何分层诊断？,停机前观察故障位置、负载与运行方向；空载分段检查阻力、卡点、对中和旋转部件；测量张力、温度、振动和减速机油液状态；排除物料、结构和控制问题后再更换驱动件,yes,no
Q-05-03,输送、传动与减速设备,周期维护,输送、传动与减速设备周期维护的关键项目有哪些？,清除积料并保持通道、清扫器和传感器清洁；按要求润滑轴承、链条和减速机，避免过量润滑；调整张紧和对中，成组更换严重磨损件；检查基础、支架、紧固件和防护罩完整性,yes,no
Q-05-04,输送、传动与减速设备,安全边界,维修输送、传动与减速设备前应隔离哪些危险，哪些操作禁止执行？,夹点、卷入点和返回段必须有防护；清堵、调整、清扫和更换托辊前执行上锁挂牌；不得跨越运行中的输送机或拆除护罩后试运行,yes,yes
Q-05-05,输送、传动与减速设备,资料边界,没有具体品牌、型号和报警代码时，能否直接给出输送、传动与减速设备的参数修改或拆机步骤？,不得直接给出；先确认铭牌、型号、制造商手册、现场风险和人员资质；提供通用排查框架并升级专业人员,yes,yes
Q-06-01,工业机器人与自动化单元,点检,工业机器人与自动化单元班前或日常点检应检查什么？,检查围栏、门锁、急停和安全区域扫描功能；检查关节异响、重复定位、线缆磨损和油脂泄漏；检查末端工具紧固、气路、电缆和负载配置；备份程序、系统参数和校准数据并检查报警历史,yes,no
Q-06-02,工业机器人与自动化单元,故障诊断,工业机器人与自动化单元出现异常温升、噪声或性能下降时如何分层诊断？,保存事件日志、程序行、运行模式和安全状态；低速手动模式下分轴检查，保持人员在危险区外；区分机器人本体、末端工具、外围设备和安全系统；恢复参数前比对版本化备份并确认变更原因,yes,no
Q-06-03,工业机器人与自动化单元,周期维护,工业机器人与自动化单元周期维护的关键项目有哪些？,按厂商周期更换关节润滑脂、风扇和电池；检查制动器、减速器间隙、线缆包和连接器；验证工具中心点、基坐标和安全区域配置；使用版本化备份管理程序与控制器配置,yes,no
Q-06-04,工业机器人与自动化单元,安全边界,维修工业机器人与自动化单元前应隔离哪些危险，哪些操作禁止执行？,机器人可能因程序、重力、储能或外部轴产生意外运动；进入单元前执行隔离、上锁并验证所有安全装置；不得绕过门锁、光栅、安全速度和区域限制,yes,yes
Q-06-05,工业机器人与自动化单元,资料边界,没有具体品牌、型号和报警代码时，能否直接给出工业机器人与自动化单元的参数修改或拆机步骤？,不得直接给出；先确认铭牌、型号、制造商手册、现场风险和人员资质；提供通用排查框架并升级专业人员,yes,yes
Q-07-01,焊接、切割与装配设备,点检,焊接、切割与装配设备班前或日常点检应检查什么？,检查电缆、接地夹、焊枪、软管和连接器损伤；检查气瓶固定、减压器、止回和防回火装置；确认排烟、冷却、气体流量和耗材状态；清理飞溅物并检查夹具、防护帘和联锁,yes,no
Q-07-02,焊接、切割与装配设备,故障诊断,焊接、切割与装配设备出现异常温升、噪声或性能下降时如何分层诊断？,核对工艺参数、材料、耗材和报警记录；从供电、接地、送丝、气路、冷却逐项隔离；使用检漏液检查气路，不用明火检漏；自动工位还需检查夹具、机器人轨迹和联锁,yes,no
Q-07-03,焊接、切割与装配设备,周期维护,焊接、切割与装配设备周期维护的关键项目有哪些？,更换磨损导电嘴、喷嘴、电极和送丝轮；清洁送丝通道、冷却回路、风道和排烟过滤件；校验电流、电压、气体流量和工件接地；对软管、电缆、减压器和安全装置做周期检查,yes,no
Q-07-04,焊接、切割与装配设备,安全边界,维修焊接、切割与装配设备前应隔离哪些危险，哪些操作禁止执行？,存在触电、弧光、烟尘、火灾、爆炸和高温灼伤风险；动火前清理可燃物、配置监护和灭火措施；气瓶远离热源并固定，受限空间焊接执行专门许可,yes,yes
Q-07-05,焊接、切割与装配设备,资料边界,没有具体品牌、型号和报警代码时，能否直接给出焊接、切割与装配设备的参数修改或拆机步骤？,不得直接给出；先确认铭牌、型号、制造商手册、现场风险和人员资质；提供通用排查框架并升级专业人员,yes,yes
Q-08-01,起重、升降与厂内搬运设备,点检,起重、升降与厂内搬运设备班前或日常点检应检查什么？,班前检查制动、限位、警报、吊钩和钢丝绳；检查结构裂纹、变形、紧固和轨道障碍；叉车检查轮胎、货叉、门架、液压泄漏和安全带；核对额定载荷、吊点、索具和作业区域,yes,no
Q-08-02,起重、升降与厂内搬运设备,故障诊断,起重、升降与厂内搬运设备出现异常温升、噪声或性能下降时如何分层诊断？,立即卸载或将载荷置于安全位置并隔离设备；查阅缺陷记录、载荷历史和检验状态；由具备资格人员检查承载件、制动和保护装置；空载、额定条件测试必须按适用法规和制造商程序执行,yes,no
Q-08-03,起重、升降与厂内搬运设备,周期维护,起重、升降与厂内搬运设备周期维护的关键项目有哪些？,按法规、制造商和检验周期实施维护与检验；润滑钢丝绳、链条、轴承和规定运动副；维护制动器、限位器、超载保护和液压系统；缺陷件隔离停用，不通过焊补等方式擅自恢复关键承载件,yes,no
Q-08-04,起重、升降与厂内搬运设备,安全边界,维修起重、升降与厂内搬运设备前应隔离哪些危险，哪些操作禁止执行？,严禁人员站在悬吊载荷下或进入设备挤压区域；维修前支撑运动部件、隔离能源并防止重力运动；不得超载、斜拉、带病运行或绕过限位和超载保护,yes,yes
Q-08-05,起重、升降与厂内搬运设备,资料边界,没有具体品牌、型号和报警代码时，能否直接给出起重、升降与厂内搬运设备的参数修改或拆机步骤？,不得直接给出；先确认铭牌、型号、制造商手册、现场风险和人员资质；提供通用排查框架并升级专业人员,yes,yes
Q-09-01,锅炉、换热、冷却与热处理设备,点检,锅炉、换热、冷却与热处理设备班前或日常点检应检查什么？,检查压力、温度、水位、燃烧状态和排烟；检查泄漏、腐蚀、结垢、保温和异常声响；验证火焰监测、低水位、超温超压和通风联锁；检查疏水器、冷凝水回收、冷却水和水处理指标,yes,no
Q-09-02,锅炉、换热、冷却与热处理设备,故障诊断,锅炉、换热、冷却与热处理设备出现异常温升、噪声或性能下降时如何分层诊断？,高风险报警立即按规程停炉，不反复强制复位；交叉核对独立压力、温度和水位指示；检查燃料、空气、给水、循环和烟气路径；受压元件和燃烧系统由具备资格的人员检查,yes,no
Q-09-03,锅炉、换热、冷却与热处理设备,周期维护,锅炉、换热、冷却与热处理设备周期维护的关键项目有哪些？,按法规和制造商要求实施定检、水处理与安全附件校验；清洁换热面、燃烧器、过滤器和烟气通道；维护疏水器、阀门、泵、风机和保温；记录燃烧效率、排烟温度、补水量和能源损失趋势,yes,no
Q-09-04,锅炉、换热、冷却与热处理设备,安全边界,维修锅炉、换热、冷却与热处理设备前应隔离哪些危险，哪些操作禁止执行？,存在高温、高压、燃烧、爆炸、缺氧和化学品风险；停机后执行冷却、隔离、泄压、排空和气体检测；锅炉和压力部件不得由无资质人员擅自焊接或改造,yes,yes
Q-09-05,锅炉、换热、冷却与热处理设备,资料边界,没有具体品牌、型号和报警代码时，能否直接给出锅炉、换热、冷却与热处理设备的参数修改或拆机步骤？,不得直接给出；先确认铭牌、型号、制造商手册、现场风险和人员资质；提供通用排查框架并升级专业人员,yes,yes
Q-10-01,低压配电、电控柜、PLC 与现场仪表,点检,低压配电、电控柜、PLC 与现场仪表班前或日常点检应检查什么？,检查柜体温度、风扇滤网、积尘、凝露和异味；检查端子变色、松动、接地和电缆机械损伤；记录 PLC/驱动/网络诊断、时钟和报警历史；检查仪表漂移、过程值合理性和联锁状态,yes,no
Q-10-02,低压配电、电控柜、PLC 与现场仪表,故障诊断,低压配电、电控柜、PLC 与现场仪表出现异常温升、噪声或性能下降时如何分层诊断？,先保存诊断缓冲区、日志、程序版本和网络拓扑；从电源和物理层开始，逐层检查 I/O、通信和逻辑；使用已知信号或校准器验证仪表回路，禁止盲目强制点位；程序差异与变更记录比对后再决定下载或恢复,yes,no
Q-10-03,低压配电、电控柜、PLC 与现场仪表,周期维护,低压配电、电控柜、PLC 与现场仪表周期维护的关键项目有哪些？,建立程序、组态、固件和参数的版本化离线备份；清洁散热通道并按状态更换风扇、继电器和电池；校验关键仪表与安全联锁，保留前后数据；变更网络、程序或参数前执行审批和回退准备,yes,no
Q-10-04,低压配电、电控柜、PLC 与现场仪表,安全边界,维修低压配电、电控柜、PLC 与现场仪表前应隔离哪些危险，哪些操作禁止执行？,带电测量、弧闪和自动启动具有严重风险；执行电气隔离、验电、接地和合格人员要求；不得在未确认工艺后果时强制 I/O、旁路联锁或下载程序,yes,yes
Q-10-05,低压配电、电控柜、PLC 与现场仪表,资料边界,没有具体品牌、型号和报警代码时，能否直接给出低压配电、电控柜、PLC 与现场仪表的参数修改或拆机步骤？,不得直接给出；先确认铭牌、型号、制造商手册、现场风险和人员资质；提供通用排查框架并升级专业人员,yes,yes
Q-11-01,注塑、冲压与成型设备,点检,注塑、冲压与成型设备班前或日常点检应检查什么？,验证防护门、光栅、双手按钮、急停和安全块；检查模具紧固、导向、间隙、润滑和异常磨损；检查液压泄漏、压力、油温及加热冷却状态；检查送料、取件、废料排出和人员进入条件,yes,no
Q-11-02,注塑、冲压与成型设备,故障诊断,注塑、冲压与成型设备出现异常温升、噪声或性能下降时如何分层诊断？,保存配方、模次、报警和缺陷样件；区分材料、模具、工艺参数和设备本体因素；低速手动检查运动、压力、温度和传感器顺序；进入模区前使用机械安全块并完成能量隔离,yes,no
Q-11-03,注塑、冲压与成型设备,周期维护,注塑、冲压与成型设备周期维护的关键项目有哪些？,清洁并润滑导柱、滑块、拉杆和规定运动副；检查模具夹紧、平行度、压力和机械限位；维护液压过滤、密封、加热圈、热电偶和冷却水路；对安全控制和防护装置执行记录化功能测试,yes,no
Q-11-04,注塑、冲压与成型设备,安全边界,维修注塑、冲压与成型设备前应隔离哪些危险，哪些操作禁止执行？,模区和滑块区域存在挤压、剪切、冲击和高温风险；不得绕过光栅、双手控制、门锁或固定防护；模具调整、清理和卡料处理必须隔离能源并防止重力运动,yes,yes
Q-11-05,注塑、冲压与成型设备,资料边界,没有具体品牌、型号和报警代码时，能否直接给出注塑、冲压与成型设备的参数修改或拆机步骤？,不得直接给出；先确认铭牌、型号、制造商手册、现场风险和人员资质；提供通用排查框架并升级专业人员,yes,yes
Q-12-01,除尘、环保与公用工程设备,点检,除尘、环保与公用工程设备班前或日常点检应检查什么？,记录压差、风量、温度、排放和能耗趋势；检查滤材破损、积灰、结露、泄漏和腐蚀；检查清灰气源、脉冲阀、灰斗和卸灰装置；验证风机、泵、液位、消防、泄爆和报警联锁,yes,no
Q-12-02,除尘、环保与公用工程设备,故障诊断,除尘、环保与公用工程设备出现异常温升、噪声或性能下降时如何分层诊断？,分析压差、风量、排放、清灰周期和工况变化；分区检查滤材、密封、阀门和管路漏点；确认粉尘爆炸、毒性、腐蚀和受限空间属性；停机隔离后再进入灰斗、箱体或处理塔检查,yes,no
Q-12-03,除尘、环保与公用工程设备,周期维护,除尘、环保与公用工程设备周期维护的关键项目有哪些？,根据压差和排放趋势维护滤材与清灰系统；清理积灰、沉积物和堵塞并控制二次扬尘；维护风机泵组、密封、阀门、仪表和排水；按介质危险性检查防静电、消防和泄爆设施,yes,no
Q-12-04,除尘、环保与公用工程设备,安全边界,维修除尘、环保与公用工程设备前应隔离哪些危险，哪些操作禁止执行？,粉尘可能具有爆炸、燃烧、毒性或窒息风险；进入箱体、灰斗和处理塔前执行受限空间程序；不得用产生点火源的方式清理可燃粉尘，维修前隔离风机和清灰气源,yes,yes
Q-12-05,除尘、环保与公用工程设备,资料边界,没有具体品牌、型号和报警代码时，能否直接给出除尘、环保与公用工程设备的参数修改或拆机步骤？,不得直接给出；先确认铭牌、型号、制造商手册、现场风险和人员资质；提供通用排查框架并升级专业人员,yes,yes
