entry_id,category_code,equipment_category,topic_type,risk_level,relative_path,source_ids,source_verified,review_status,updated_at
KB-03-02,03,泵、风机与工业空气压缩机,点检,medium,03_泵风机与空压机/02_日常点检.md,S001|S011|S012|S013|S016|S019|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-03-03,03,泵、风机与工业空气压缩机,保养,medium,03_泵风机与空压机/03_周期维护.md,S001|S011|S012|S013|S016|S019|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-03-04,03,泵、风机与工业空气压缩机,故障,medium,03_泵风机与空压机/04_常见故障与可能原因.md,S001|S011|S012|S013|S016|S019|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-03-05,03,泵、风机与工业空气压缩机,诊断,high,03_泵风机与空压机/05_分层诊断流程.md,S001|S011|S012|S013|S016|S019|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-03-06,03,泵、风机与工业空气压缩机,安全,high,03_泵风机与空压机/06_维修安全隔离.md,S001|S011|S012|S013|S016|S019|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-03-07,03,泵、风机与工业空气压缩机,验收,high,03_泵风机与空压机/07_复机验收与记录.md,S001|S011|S012|S013|S016|S019|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-04-01,04,液压系统与气动系统,原理,medium,04_液压与气动系统/01_工作原理与主要部件.md,S001|S002|S003|S013|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-04-02,04,液压系统与气动系统,点检,medium,04_液压与气动系统/02_日常点检.md,S001|S002|S003|S013|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-04-03,04,液压系统与气动系统,保养,medium,04_液压与气动系统/03_周期维护.md,S001|S002|S003|S013|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-04-04,04,液压系统与气动系统,故障,medium,04_液压与气动系统/04_常见故障与可能原因.md,S001|S002|S003|S013|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-04-05,04,液压系统与气动系统,诊断,high,04_液压与气动系统/05_分层诊断流程.md,S001|S002|S003|S013|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-04-06,04,液压系统与气动系统,安全,high,04_液压与气动系统/06_维修安全隔离.md,S001|S002|S003|S013|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-04-07,04,液压系统与气动系统,验收,high,04_液压与气动系统/07_复机验收与记录.md,S001|S002|S003|S013|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-05-01,05,输送、传动与减速设备,原理,medium,05_输送传动与减速设备/01_工作原理与主要部件.md,S001|S003|S004|S016|S021|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-05-02,05,输送、传动与减速设备,点检,medium,05_输送传动与减速设备/02_日常点检.md,S001|S003|S004|S016|S021|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-05-03,05,输送、传动与减速设备,保养,medium,05_输送传动与减速设备/03_周期维护.md,S001|S003|S004|S016|S021|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-05-04,05,输送、传动与减速设备,故障,medium,05_输送传动与减速设备/04_常见故障与可能原因.md,S001|S003|S004|S016|S021|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-05-05,05,输送、传动与减速设备,诊断,high,05_输送传动与减速设备/05_分层诊断流程.md,S001|S003|S004|S016|S021|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-05-06,05,输送、传动与减速设备,安全,high,05_输送传动与减速设备/06_维修安全隔离.md,S001|S003|S004|S016|S021|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-05-07,05,输送、传动与减速设备,验收,high,05_输送传动与减速设备/07_复机验收与记录.md,S001|S003|S004|S016|S021|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-06-01,06,工业机器人与自动化单元,原理,medium,06_工业机器人与自动化单元/01_工作原理与主要部件.md,S001|S003|S008|S017|S018|S022|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-06-02,06,工业机器人与自动化单元,点检,medium,06_工业机器人与自动化单元/02_日常点检.md,S001|S003|S008|S017|S018|S022|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-06-03,06,工业机器人与自动化单元,保养,medium,06_工业机器人与自动化单元/03_周期维护.md,S001|S003|S008|S017|S018|S022|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-06-04,06,工业机器人与自动化单元,故障,medium,06_工业机器人与自动化单元/04_常见故障与可能原因.md,S001|S003|S008|S017|S018|S022|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-06-05,06,工业机器人与自动化单元,诊断,high,06_工业机器人与自动化单元/05_分层诊断流程.md,S001|S003|S008|S017|S018|S022|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-06-06,06,工业机器人与自动化单元,安全,high,06_工业机器人与自动化单元/06_维修安全隔离.md,S001|S003|S008|S017|S018|S022|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-06-07,06,工业机器人与自动化单元,验收,high,06_工业机器人与自动化单元/07_复机验收与记录.md,S001|S003|S008|S017|S018|S022|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-07-01,07,焊接、切割与装配设备,原理,medium,07_焊接切割与装配设备/01_工作原理与主要部件.md,S001|S005|S006|S010|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-07-02,07,焊接、切割与装配设备,点检,medium,07_焊接切割与装配设备/02_日常点检.md,S001|S005|S006|S010|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-07-03,07,焊接、切割与装配设备,保养,medium,07_焊接切割与装配设备/03_周期维护.md,S001|S005|S006|S010|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-07-04,07,焊接、切割与装配设备,故障,medium,07_焊接切割与装配设备/04_常见故障与可能原因.md,S001|S005|S006|S010|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-07-05,07,焊接、切割与装配设备,诊断,high,07_焊接切割与装配设备/05_分层诊断流程.md,S001|S005|S006|S010|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-07-06,07,焊接、切割与装配设备,安全,high,07_焊接切割与装配设备/06_维修安全隔离.md,S001|S005|S006|S010|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-07-07,07,焊接、切割与装配设备,验收,high,07_焊接切割与装配设备/07_复机验收与记录.md,S001|S005|S006|S010|S018|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-08-01,08,起重、升降与厂内搬运设备,原理,medium,08_起重升降与搬运设备/01_工作原理与主要部件.md,S001|S007|S009|S025|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-08-02,08,起重、升降与厂内搬运设备,点检,medium,08_起重升降与搬运设备/02_日常点检.md,S001|S007|S009|S025|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-08-03,08,起重、升降与厂内搬运设备,保养,medium,08_起重升降与搬运设备/03_周期维护.md,S001|S007|S009|S025|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-08-04,08,起重、升降与厂内搬运设备,故障,medium,08_起重升降与搬运设备/04_常见故障与可能原因.md,S001|S007|S009|S025|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-08-05,08,起重、升降与厂内搬运设备,诊断,high,08_起重升降与搬运设备/05_分层诊断流程.md,S001|S007|S009|S025|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-08-06,08,起重、升降与厂内搬运设备,安全,high,08_起重升降与搬运设备/06_维修安全隔离.md,S001|S007|S009|S025|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-08-07,08,起重、升降与厂内搬运设备,验收,high,08_起重升降与搬运设备/07_复机验收与记录.md,S001|S007|S009|S025|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-09-01,09,锅炉、换热、冷却与热处理设备,原理,medium,09_锅炉换热与热处理设备/01_工作原理与主要部件.md,S001|S010|S012|S014|S025|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-09-02,09,锅炉、换热、冷却与热处理设备,点检,medium,09_锅炉换热与热处理设备/02_日常点检.md,S001|S010|S012|S014|S025|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-09-03,09,锅炉、换热、冷却与热处理设备,保养,medium,09_锅炉换热与热处理设备/03_周期维护.md,S001|S010|S012|S014|S025|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-09-04,09,锅炉、换热、冷却与热处理设备,故障,medium,09_锅炉换热与热处理设备/04_常见故障与可能原因.md,S001|S010|S012|S014|S025|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-09-05,09,锅炉、换热、冷却与热处理设备,诊断,high,09_锅炉换热与热处理设备/05_分层诊断流程.md,S001|S010|S012|S014|S025|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-09-06,09,锅炉、换热、冷却与热处理设备,安全,high,09_锅炉换热与热处理设备/06_维修安全隔离.md,S001|S010|S012|S014|S025|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-09-07,09,锅炉、换热、冷却与热处理设备,验收,high,09_锅炉换热与热处理设备/07_复机验收与记录.md,S001|S010|S012|S014|S025|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-10-01,10,低压配电、电控柜、PLC 与现场仪表,原理,medium,10_配电PLC与仪表/01_工作原理与主要部件.md,S001|S005|S018|S022|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-10-02,10,低压配电、电控柜、PLC 与现场仪表,点检,medium,10_配电PLC与仪表/02_日常点检.md,S001|S005|S018|S022|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-10-03,10,低压配电、电控柜、PLC 与现场仪表,保养,medium,10_配电PLC与仪表/03_周期维护.md,S001|S005|S018|S022|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-10-04,10,低压配电、电控柜、PLC 与现场仪表,故障,medium,10_配电PLC与仪表/04_常见故障与可能原因.md,S001|S005|S018|S022|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-10-05,10,低压配电、电控柜、PLC 与现场仪表,诊断,high,10_配电PLC与仪表/05_分层诊断流程.md,S001|S005|S018|S022|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-10-06,10,低压配电、电控柜、PLC 与现场仪表,安全,high,10_配电PLC与仪表/06_维修安全隔离.md,S001|S005|S018|S022|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-10-07,10,低压配电、电控柜、PLC 与现场仪表,验收,high,10_配电PLC与仪表/07_复机验收与记录.md,S001|S005|S018|S022|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-11-01,11,注塑、冲压与成型设备,原理,medium,11_注塑冲压与成型设备/01_工作原理与主要部件.md,S001|S003|S004|S023|S024|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-11-02,11,注塑、冲压与成型设备,点检,medium,11_注塑冲压与成型设备/02_日常点检.md,S001|S003|S004|S023|S024|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-11-03,11,注塑、冲压与成型设备,保养,medium,11_注塑冲压与成型设备/03_周期维护.md,S001|S003|S004|S023|S024|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-11-04,11,注塑、冲压与成型设备,故障,medium,11_注塑冲压与成型设备/04_常见故障与可能原因.md,S001|S003|S004|S023|S024|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-11-05,11,注塑、冲压与成型设备,诊断,high,11_注塑冲压与成型设备/05_分层诊断流程.md,S001|S003|S004|S023|S024|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-11-06,11,注塑、冲压与成型设备,安全,high,11_注塑冲压与成型设备/06_维修安全隔离.md,S001|S003|S004|S023|S024|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-11-07,11,注塑、冲压与成型设备,验收,high,11_注塑冲压与成型设备/07_复机验收与记录.md,S001|S003|S004|S023|S024|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-12-01,12,除尘、环保与公用工程设备,原理,medium,12_除尘环保与公用工程/01_工作原理与主要部件.md,S001|S010|S012|S013|S020|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-12-02,12,除尘、环保与公用工程设备,点检,medium,12_除尘环保与公用工程/02_日常点检.md,S001|S010|S012|S013|S020|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-12-03,12,除尘、环保与公用工程设备,保养,medium,12_除尘环保与公用工程/03_周期维护.md,S001|S010|S012|S013|S020|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-12-04,12,除尘、环保与公用工程设备,故障,medium,12_除尘环保与公用工程/04_常见故障与可能原因.md,S001|S010|S012|S013|S020|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-12-05,12,除尘、环保与公用工程设备,诊断,high,12_除尘环保与公用工程/05_分层诊断流程.md,S001|S010|S012|S013|S020|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-12-06,12,除尘、环保与公用工程设备,安全,high,12_除尘环保与公用工程/06_维修安全隔离.md,S001|S010|S012|S013|S020|S026,yes,现场适用性待设备负责人确认,2026-07-20
KB-12-07,12,除尘、环保与公用工程设备,验收,high,12_除尘环保与公用工程/07_复机验收与记录.md,S001|S010|S012|S013|S020|S026,yes,现场适用性待设备负责人确认,2026-07-20
